time;temperature_2m;relative_humidity_2m;surface_pressure;cloud_cover;direct_radiation
2026-04-27T00:00;16,3;74;1015,6;94;0,0
2026-04-27T01:00;16,0;76;1015,4;66;0,0
2026-04-27T02:00;15,6;80;1015,2;74;0,0
2026-04-27T03:00;15,4;83;1015,0;85;0,0
2026-04-27T04:00;14,9;86;1014,9;71;0,0
2026-04-27T05:00;14,5;89;1014,5;77;0,0
2026-04-27T06:00;14,1;93;1014,5;71;0,0
2026-04-27T07:00;14,0;94;1014,7;67;0,0
2026-04-27T08:00;14,4;92;1015,1;47;20,0
2026-04-27T09:00;17,0;78;1015,3;43;125,0
2026-04-27T10:00;19,4;71;1015,6;43;270,0
2026-04-27T11:00;21,0;66;1015,8;44;417,0
2026-04-27T12:00;21,5;61;1015,6;44;566,0
2026-04-27T13:00;21,3;63;1015,2;44;670,0
2026-04-27T14:00;20,9;67;1014,9;66;699,0
2026-04-27T15:00;20,4;70;1014,5;100;617,0
2026-04-27T16:00;20,0;72;1014,3;100;476,0
2026-04-27T17:00;19,6;73;1014,0;100;291,0
2026-04-27T18:00;19,2;73;1013,5;100;170,0
2026-04-27T19:00;18,9;73;1013,3;100;88,0
2026-04-27T20:00;18,3;77;1013,4;100;33,0
2026-04-27T21:00;17,1;86;1013,4;100;1,0
2026-04-27T22:00;16,2;92;1013,7;100;0,0
2026-04-27T23:00;15,7;93;1013,4;100;0,0
